iso3c,year,life_expect,birth_rate,neonat_mortal_rate
AZE,1990,64.7463658536585,25.9,35.9
AZE,2001,67.1502926829268,13.6,32.1
AZE,2012,70.6239512195122,18.8,20.4
AZE,1992,64.207243902439,25.2,36.6
AZE,2003,68.0036829268293,13.8,29.2
AZE,1991,64.4241463414634,26.6,36.2
AZE,2002,67.5610731707317,13.5,30.6
AZE,1993,64.1540243902439,23.7,37
AZE,2005,68.9372682926829,16.9,26.6
AZE,2004,68.4701951219512,15.8,27.8
BIH,2009,75.6573658536585,9.248,5.2
BIH,1996,72.2088048780488,12.154,9
BIH,2008,75.5119756097561,9.164,5.1
BIH,1995,71.5660975609756,12.474,9.5
BIH,2010,75.8076829268293,9.272,5.1
BIH,2000,74.2607317073171,10.168,6.6
BIH,1998,73.4372926829268,11.297,7.8
BIH,1994,71.029512195122,12.776,10
BIH,1999,73.9096341463415,10.748,7.2
BIH,2012,76.1201707317073,9.159,4.7
BIH,2007,75.3714878048781,9.036,5.1
BIH,2011,75.9629268292683,9.235,5
BIH,2006,75.2314390243902,8.891,5.1
BIH,1992,70.5180487804878,13.549,10.9
BIH,1997,72.8587317073171,11.769,8.4
BIH,1993,70.6691219512195,13.122,10.5
BIH,2005,75.0935365853659,8.781,5.1
BIH,2002,74.6755853658537,9.191,5.7
BIH,2013,76.2769268292683,9.062,4.5
BIH,1990,70.7832195121951,14.664,11.3
BIH,2003,74.8243658536585,8.903,5.4
BIH,1991,70.5728048780488,14.066,11.1
BIH,2001,74.5009268292683,9.627,6.1
BIH,2015,NA,NA,4
BIH,2004,74.9594878048781,8.772,5.2
BIH,2014,76.433243902439,8.947,4.2
BRB,1998,72.8706585365854,14.256,8.6
BRB,2008,74.5191951219512,12.67,9.5
BRB,2000,73.219512195122,13.79,8.7
BRB,1999,73.0485853658537,14.018,8.6
BRB,2006,74.1931219512195,12.862,9.9
BRB,2012,75.1710243902439,12.282,8.7
BRB,2001,73.3839268292683,13.581,8.8
BRB,2011,75.0081463414634,12.379,8.9
